timestamp,gsr_value
2025-08-12 11:42:09.474028,38.0
2025-08-12 11:42:09.814628,38.0
2025-08-12 11:42:09.926358,37.0
2025-08-12 11:42:10.168182,39.0
2025-08-12 11:42:10.526043,41.0
2025-08-12 11:42:10.995955,43.0
2025-08-12 11:42:11.350486,45.0
2025-08-12 11:42:11.778438,45.0
2025-08-12 11:42:12.174983,47.0
2025-08-12 11:42:12.580352,47.0
